,cid,cmpdname,canonicalsmiles,Molecule,Fingerprint,predicted,predicted_proba,min_energy,energy_gps
916,21068149,"N-[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]-2,2-diphenylacetamide",C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)NC3=CC=C(C=C3)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9efae0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba45930>,0,0.5789439274035356,-12.857,-13 : -11
748,21067615,"N-[3-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]-2,3-dihydro-1,4-benzodioxine-3-carboxamide",C1C(OC2=CC=CC=C2O1)C(=O)NC3=CC=CC(=C3)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9eb0d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba40f20>,0,0.5637473683147621,-12.856,-13 : -11
519,21065543,"1-[[4-[[[3-Bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-3-(3,5-dichlorophenyl)urea",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CC=C(C=C4)CNC(=O)NC5=CC(=CC(=C5)Cl)Cl)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e4970>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3a730>,0,0.5804582057610034,-12.854,-13 : -11
546,21065721,"2-benzyl-N-[2-[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]ethyl]benzamide",C1=CC=C(C=C1)CC2=CC=CC=C2C(=O)NCCNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e55b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3b370>,0,0.5291694239995184,-12.85,-13 : -11
517,21065541,"1-[[4-[[[3-Bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-3-(3,4-dichlorophenyl)urea",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CC=C(C=C4)CNC(=O)NC5=CC(=C(C=C5)Cl)Cl)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e4890>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3a650>,0,0.6129017728367908,-12.849,-13 : -11
566,21065801,"1-[3-[[[3-Bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]-3-(2-methylphenyl)urea",CC1=CC=CC=C1NC(=O)NC2=CC=CC(=C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e5e70>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3bc30>,0,0.5637473683147621,-12.84,-13 : -11
504,21065527,"1-[4-[[[3-Bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]-3-(3,4-difluorophenyl)urea",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CC=C(C=C4)NC(=O)NC5=CC(=C(C=C5)F)F)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e42e0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3a0a0>,0,0.5637214449679384,-12.836,-13 : -11
1466,57825265,"1-morpholin-4-yl-3-[4-oxo-3-[4-(2-oxo-2-piperidin-1-ylethoxy)phenyl]-1H-indeno[1,2-c]pyrazol-5-yl]urea",C1CCN(CC1)C(=O)COC2=CC=C(C=C2)C3=NNC4=C3C(=O)C5=C4C=CC=C5NC(=O)NN6CCOCC6,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9ff290>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba550e0>,0,0.5387071551319492,-12.829,-13 : -11
974,21068241,"N-[[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-1H-indole-5-carboxamide",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CC=C(C=C4)CNC(=O)C5=CC6=C(C=C5)NC=C6)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f14d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba47290>,0,0.6460319762528066,-12.828,-13 : -11
267,11354401,"1-morpholin-4-yl-3-[4-oxo-3-[4-[(4-pyridin-4-ylpiperazin-1-yl)methyl]phenyl]-1H-indeno[1,2-c]pyrazol-5-yl]urea",C1CN(CCN1CC2=CC=C(C=C2)C3=NNC4=C3C(=O)C5=C4C=CC=C5NC(=O)NN6CCOCC6)C7=CC=NC=C7,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd7d80>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba31bd0>,0,0.5576813836223713,-12.821,-13 : -11
