,cid,cmpdname,canonicalsmiles,Molecule,Fingerprint,predicted,predicted_proba,min_energy,energy_gps
2642,137654694,"4-[[7-(cyclohexylmethoxy)-2H-triazolo[4,5-d]pyrimidin-5-yl]amino]benzenesulfonamide",C1CCC(CC1)COC2=NC(=NC3=NNN=C32)NC4=CC=C(C=C4)S(=O)(=O)N,<rdkit.Chem.rdchem.Mol object at 0x7f54fba22420>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba78270>,0,0.5518070727087122,-12.011,-13 : -11
979,21068246,"N-[[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-1-phenylmethanesulfonamide",C1=CC=C(C=C1)CS(=O)(=O)NCC2=CC=C(C=C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f1700>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba474c0>,0,0.5230811565806756,-12.009,-13 : -11
1026,21068299,"N-[[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-3-fluorobenzenesulfonamide",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CC=C(C=C4)CNS(=O)(=O)C5=CC=CC(=C5)F)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f2b90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba489e0>,0,0.5003433181701141,-11.983,-13 : -11
2369,90927073,N-[[4-[[5-bromo-4-[[(2R)-3-hydroxy-3-methylbutan-2-yl]amino]pyrimidin-2-yl]amino]phenyl]-methylidene-lambda4-sulfanyl]-4-(trifluoromethoxy)benzenesulfonamide,CC(C(C)(C)O)NC1=NC(=NC=C1Br)NC2=CC=C(C=C2)S(=C)NS(=O)(=O)C3=CC=C(C=C3)OC(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1a420>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba70270>,0,0.5209353488042013,-11.982,-13 : -11
951,21068205,"N-[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]-4-chloro-2-fluorobenzenesulfonamide",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CC=C(C=C4)NS(=O)(=O)C5=C(C=C(C=C5)Cl)F)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f0ac0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba46880>,0,0.5535960833478807,-11.977,-13 : -11
1025,21068298,"N-[[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-3-cyanobenzenesulfonamide",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CC=C(C=C4)CNS(=O)(=O)C5=CC=CC(=C5)C#N)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f2b20>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba48970>,0,0.5823105312848683,-11.972,-13 : -11
1041,21068319,"N-[[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-4-methylbenzenesulfonamide",CC1=CC=C(C=C1)S(=O)(=O)NCC2=CC=C(C=C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f3220>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba49070>,0,0.5003433181701141,-11.952,-13 : -11
1203,24800068,"4-[[4-(cyclohexylmethoxy)-1H-pyrazolo[3,4-d]pyrimidin-6-yl]amino]benzenesulfonamide",C1CCC(CC1)COC2=NC(=NC3=C2C=NN3)NC4=CC=C(C=C4)S(=O)(=O)N,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f7d10>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba4db60>,0,0.5402577386183944,-11.936,-13 : -11
955,21068210,"N-[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]-4-ethylbenzenesulfonamide",CCC1=CC=C(C=C1)S(=O)(=O)NC2=CC=C(C=C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f0c80>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba46a40>,0,0.5019286403085824,-11.932,-13 : -11
2210,73740348,"N-[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]-2-phenylethenesulfonamide",C1=CC=C(C=C1)C=CS(=O)(=O)NC2=CC=C(C=C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fba15150>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba6af10>,0,0.555524723656463,-11.921,-13 : -11
922,21068156,"N-[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]-2,4-difluorobenzenesulfonamide",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CC=C(C=C4)NS(=O)(=O)C5=C(C=C(C=C5)F)F)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9efd80>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba45bd0>,0,0.5208091981019789,-11.906,-13 : -11
930,21068168,"N-[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]-2-methylbenzenesulfonamide",CC1=CC=CC=C1S(=O)(=O)NC2=CC=C(C=C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f0190>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba45f50>,0,0.5227378384105614,-11.891,-13 : -11
804,21067683,"N-[[3-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-3-cyanobenzenesulfonamide",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CC(=CC=C4)CNS(=O)(=O)C5=CC=CC(=C5)C#N)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9ec9e0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba427a0>,0,0.5495236460389666,-11.875,-13 : -11
801,21067680,"N-[[3-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-3,5-dimethyl-1,2-oxazole-4-sulfonamide",CC1=C(C(=NO1)C)S(=O)(=O)NCC2=CC=CC(=C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9ec890>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba42650>,0,0.5555506470032867,-11.874,-13 : -11
2113,70877240,"N-[[3-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-4-fluorocyclohexa-1,3-diene-1-sulfonamide",C1CC(=CC=C1F)S(=O)(=O)NCC2=CC=CC(=C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fba12420>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba68270>,0,0.5309604830688605,-11.87,-13 : -11
